Blank OD is 14.6332
Time OD Volume Z Media ODpost
25625.93 0.5000 0.5118 659.4115 624.0691 1.0 0.4992
25740.14 0.5000 0.5088 650.9818 624.5103 1.0 0.4938
25854.43 0.5000 0.5071 646.1918 624.8657 1.0 0.4875
25968.70 0.5000 0.5062 643.6627 625.1739 1.0 0.4890
26082.98 0.5000 0.5009 627.7734 625.2165 1.0 0.5032
26197.26 0.5000 0.5032 634.9839 625.3766 1.0 0.4851
26311.59 0.5000 0.5055 642.1214 625.6511 1.0 0.5030
26425.86 0.5000 0.5055 642.5124 625.9275 1.0 0.4921
26540.13 0.5000 0.5059 644.0633 626.2248 1.0 0.4888
26654.33 0.5000 0.5037 637.4359 626.4086 1.0 0.4968
26768.64 0.5000 0.5125 664.6277 627.0352 1.0 0.4878
26882.92 0.5000 0.5035 637.5775 627.2080 1.0 0.4880
26997.24 0.5000 0.4941 609.2703 626.9139 1.0 0.4938
27111.51 0.5000 0.5053 643.2137 627.1811 1.0 0.4977
27225.79 0.5000 0.5002 627.7468 627.1904 1.0 0.4855
27340.06 0.5000 0.5069 648.3158 627.5367 1.0 0.4827
27454.33 0.5000 0.4993 625.4066 627.5018 1.0 0.4820
27568.62 0.5000 0.4907 599.2671 627.0389 1.0 0.4791
27682.86 0.5000 0.4958 614.3374 626.8307 1.0 0.4844
27797.07 0.5000 0.5041 639.4638 627.0378 1.0 0.4860
27911.38 0.5000 0.5006 628.7608 627.0661 1.0 0.5051
28025.70 0.5000 0.5016 631.9737 627.1465 1.0 0.4843
28139.92 0.5000 0.4992 624.6691 627.1059 1.0 0.5182
28254.20 0.5000 0.4998 626.5548 627.0969 1.0 0.4912
28368.48 0.5000 0.5088 653.9639 627.5373 1.0 0.4875
28482.66 0.5000 0.5108 660.5807 628.0790 1.0 0.4927
28596.98 0.5000 0.5096 657.5002 628.5613 1.0 0.4922
28711.18 0.5000 0.5087 654.9680 628.9942 1.0 0.5087
28825.43 0.5000 0.5196 688.8839 629.9760 1.0 0.5020
28939.68 0.5000 0.5149 675.5056 630.7224 1.0 0.5170
29053.96 0.5000 0.5181 686.0568 631.6295 1.0 0.4998
29168.15 0.5000 0.5148 676.7244 632.3688 1.0 0.5299
